transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),382,0.651473,0.662475,0.669304,0.635722,0.641687,0.655538,0.641752,0.634936
cellular protein metabolic process (GO:0044267),368,0.733043,0.723956,0.736397,0.728116,0.733963,0.721144,0.736969,0.728701
cellular protein modification process (GO:0006464),954,0.617212,0.608166,0.621464,0.615947,0.615108,0.630590,0.617324,0.582155
cellular response to cytokine stimulus (GO:0071345),394,0.724170,0.709136,0.724880,0.723213,0.718581,0.741299,0.675351,0.726952
cytokine-mediated signaling pathway (GO:0019221),503,0.760928,0.742461,0.747686,0.739792,0.714519,0.753747,0.760509,0.751328
negative regulation of apoptotic process (GO:0043066),431,0.619385,0.669628,0.658990,0.665237,0.643470,0.687851,0.599497,0.618145
negative regulation of cell population proliferation (GO:0008285),344,0.610186,0.602238,0.601290,0.610663,0.605963,0.627939,0.534028,0.606889
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),496,0.668615,0.623818,0.639649,0.639980,0.642810,0.674501,0.683950,0.662975
negative regulation of cellular process (GO:0048523),510,0.565491,0.609919,0.600410,0.607646,0.589613,0.621364,0.568976,0.572918
negative regulation of nucleic acid-templated transcription (GO:1903507),419,0.692801,0.615311,0.638061,0.647276,0.651858,0.684680,0.707111,0.679984
negative regulation of programmed cell death (GO:0043069),346,0.603206,0.661439,0.661995,0.673608,0.653079,0.701173,0.585899,0.643555
negative regulation of transcription by RNA polymerase II (GO:0000122),556,0.700265,0.640154,0.645735,0.665341,0.647656,0.689114,0.708847,0.727230
negative regulation of transcription, DNA-templated (GO:0045892),795,0.715748,0.623358,0.635926,0.651051,0.642690,0.682744,0.717230,0.718142
nervous system development (GO:0007399),415,0.661077,0.686280,0.684504,0.684158,0.685396,0.695245,0.647210,0.693462
neutrophil activation involved in immune response (GO:0002283),399,0.840095,0.806803,0.814184,0.812531,0.803224,0.820309,0.821068,0.799681
neutrophil degranulation (GO:0043312),396,0.841702,0.809496,0.814650,0.813165,0.805237,0.820762,0.832115,0.820633
neutrophil mediated immunity (GO:0002446),403,0.827019,0.807817,0.815595,0.817085,0.808366,0.817533,0.815077,0.805431
organelle assembly (GO:0070925),379,0.655369,0.638392,0.658830,0.640892,0.649033,0.658183,0.669928,0.628808
organelle organization (GO:0006996),375,0.615928,0.633546,0.646133,0.644435,0.650891,0.641839,0.608949,0.595027
phosphorylation (GO:0016310),379,0.646501,0.672613,0.682132,0.663592,0.661858,0.694576,0.649412,0.654798
positive regulation of cell population proliferation (GO:0008284),431,0.640744,0.650207,0.651434,0.652441,0.666236,0.667347,0.616505,0.667531
positive regulation of cellular process (GO:0048522),567,0.598671,0.626428,0.631026,0.649695,0.647380,0.643576,0.582738,0.626532
positive regulation of gene expression (GO:0010628),440,0.622757,0.629917,0.622255,0.618788,0.604219,0.632814,0.589523,0.601936
positive regulation of intracellular signal transduction (GO:1902533),496,0.630119,0.630354,0.646764,0.618211,0.629661,0.642497,0.604270,0.625521
positive regulation of macromolecule metabolic process (GO:0010604),350,0.617010,0.625860,0.611900,0.606697,0.625106,0.651428,0.591315,0.623534
positive regulation of nucleic acid-templated transcription (GO:1903508),474,0.682094,0.637449,0.628791,0.647933,0.648140,0.669036,0.695229,0.678397
positive regulation of protein phosphorylation (GO:0001934),344,0.612557,0.650559,0.640397,0.627968,0.642569,0.661816,0.617805,0.648301
positive regulation of transcription by RNA polymerase II (GO:0045944),838,0.690802,0.625474,0.634963,0.636397,0.643160,0.679285,0.707930,0.714356
positive regulation of transcription, DNA-templated (GO:0045893),1078,0.693748,0.623422,0.625559,0.629679,0.642646,0.672635,0.713062,0.705844
protein modification by small protein conjugation (GO:0032446),354,0.649445,0.663258,0.680994,0.675326,0.658779,0.681976,0.683220,0.604357
protein phosphorylation (GO:0006468),473,0.640221,0.660197,0.675017,0.654844,0.665536,0.689917,0.633485,0.661879
protein ubiquitination (GO:0016567),467,0.672384,0.662609,0.694850,0.690473,0.675160,0.674701,0.703650,0.645154
regulation of apoptotic process (GO:0042981),660,0.586427,0.642837,0.644867,0.656693,0.645960,0.654124,0.608757,0.617356
regulation of cell migration (GO:0030334),375,0.686922,0.703178,0.707958,0.684996,0.704836,0.721275,0.626197,0.685886
regulation of cell population proliferation (GO:0042127),691,0.598040,0.624003,0.618541,0.627171,0.616917,0.641685,0.579124,0.622296
regulation of cellular macromolecule biosynthetic process (GO:2000112),352,0.643606,0.592434,0.607326,0.612331,0.635051,0.637387,0.671172,0.622557
regulation of gene expression (GO:0010468),886,0.642004,0.591219,0.600759,0.612564,0.627404,0.619841,0.643132,0.639673
regulation of intracellular signal transduction (GO:1902531),405,0.631951,0.616224,0.645647,0.633414,0.629968,0.630853,0.636810,0.620946
regulation of transcription by RNA polymerase II (GO:0006357),1663,0.727043,0.616453,0.632155,0.641817,0.640796,0.675038,0.763362,0.763763
regulation of transcription, DNA-templated (GO:0006355),1643,0.742468,0.619003,0.643365,0.640289,0.640670,0.672959,0.768457,0.763113
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),382,0.651473,0.662475,0.669304,0.635722,0.641687,0.655538,0.641752,0.634936
