model,term,auroc,auprc,n_pos,variant,is_fallback,control,track,task,op
Txn_Jatin,regulation of transcription by RNA polymerase II (GO:0006357),0.7308377208279248,0.3142529379430082,1608,common,False,real,single-gene-GO,,
Txn_Jatin,"regulation of transcription, DNA-templated (GO:0006355)",0.7297694569123453,0.3007500725925446,1576,common,False,real,single-gene-GO,,
Txn_Jatin,"positive regulation of transcription, DNA-templated (GO:0045893)",0.6664767091786478,0.1472204306217895,1048,common,False,real,single-gene-GO,,
Txn_Jatin,cellular protein modification process (GO:0006464),0.5747837581347568,0.0800301961972282,935,common,False,real,single-gene-GO,,
Txn_Jatin,regulation of gene expression (GO:0010468),0.6043117305208021,0.0913552639754897,849,common,False,real,single-gene-GO,,
Txn_Jatin,positive regulation of transcription by RNA polymerase II (GO:0045944),0.6798124757644783,0.120486734943597,815,common,False,real,single-gene-GO,,
Txn_Jatin,"negative regulation of transcription, DNA-templated (GO:0045892)",0.6796304873655499,0.1142134165922491,762,common,False,real,single-gene-GO,,
Txn_Jatin,regulation of cell population proliferation (GO:0042127),0.6039490903449993,0.0696497506313758,655,common,False,real,single-gene-GO,,
Txn_Jatin,regulation of apoptotic process (GO:0042981),0.627995517946538,0.0708254017414536,628,common,False,real,single-gene-GO,,
Txn_Jatin,negative regulation of transcription by RNA polymerase II (GO:0000122),0.67184216762043,0.085608510951543,538,common,False,real,single-gene-GO,,
Txn_Jatin,positive regulation of cellular process (GO:0048522),0.6001949352755007,0.0623612043119273,537,common,False,real,single-gene-GO,,
Txn_Jatin,negative regulation of cellular process (GO:0048523),0.559432219812264,0.0462023885542306,481,common,False,real,single-gene-GO,,
Txn_Jatin,positive regulation of intracellular signal transduction (GO:1902533),0.5980871929020903,0.0505147989951915,472,common,False,real,single-gene-GO,,
Txn_Jatin,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6498149328426596,0.056663699718284,471,common,False,real,single-gene-GO,,
Txn_Jatin,protein phosphorylation (GO:0006468),0.6322119983432816,0.0562224935206501,471,common,False,real,single-gene-GO,,
Txn_Jatin,positive regulation of nucleic acid-templated transcription (GO:1903508),0.6293401634724883,0.0613609451741232,457,common,False,real,single-gene-GO,,
Txn_Jatin,cytokine-mediated signaling pathway (GO:0019221),0.725500790196577,0.110545723495607,456,common,False,real,single-gene-GO,,
Txn_Jatin,protein ubiquitination (GO:0016567),0.6416809588081877,0.0551717285675527,455,common,False,real,single-gene-GO,,
Txn_Jatin,positive regulation of gene expression (GO:0010628),0.5778331085201132,0.0424763600564487,414,common,False,real,single-gene-GO,,
Txn_Jatin,negative regulation of apoptotic process (GO:0043066),0.637975516492171,0.0469223689411967,410,common,False,real,single-gene-GO,,
Txn_Jatin,positive regulation of cell population proliferation (GO:0008284),0.6232092580951809,0.0521526613885024,409,common,False,real,single-gene-GO,,
Txn_Jatin,nervous system development (GO:0007399),0.649157531888428,0.0579506302885516,408,common,False,real,single-gene-GO,,
